Group,MortRate
Bird,0.11
Bird,0.11
Mammal,0.11
Mammal,0.11
Mammal,0.11
Mammal,0.11
Reptile,0.11
Bird,0.1
Bird,0.1
Bird,0.1
Bird,0.1
Bird,0.1
Bird,0.1
Mammal,0.1
Mammal,0.1
Mammal,0.1
Mammal,0.1
Mammal,0.1
Mammal,0.1
Mammal,0.1
Mammal,0.1
Mammal,0.1
Reptile,0.1
Reptile,0.1
Amphib,0.1
Bird,0.09
Bird,0.09
Bird,0.09
Bird,0.09
Mammal,0.09
Mammal,0.09
Mammal,0.09
Mammal,0.09
Mammal,0.09
Mammal,0.09
Reptile,0.09
Bird,0.08
Bird,0.08
Bird,0.08
Mammal,0.08
Mammal,0.08
Mammal,0.08
Mammal,0.08
Mammal,0.08
Mammal,0.08
Mammal,0.08
Reptile,0.08
Reptile,0.08
Bird,0.07
Bird,0.07
Bird,0.07
Mammal,0.07
Mammal,0.07
Mammal,0.07
Mammal,0.07
Mammal,0.07
Mammal,0.07
Mammal,0.07
Reptile,0.07
Bird,0.06
Bird,0.06
Bird,0.06
Bird,0.06
Bird,0.06
Mammal,0.06
Mammal,0.06
Mammal,0.06
Mammal,0.06
Mammal,0.06
Mammal,0.06
Mammal,0.06
Reptile,0.06
Reptile,0.06
Reptile,0.06
Reptile,0.06
Reptile,0.06
Reptile,0.06
Bird,0.05
Bird,0.05
Bird,0.05
Mammal,0.05
Mammal,0.05
Mammal,0.05
Mammal,0.05
Mammal,0.05
Reptile,0.05
Reptile,0.05
Bird,0.04
Mammal,0.04
Mammal,0.04
Mammal,0.04
Mammal,0.04
Mammal,0.04
Reptile,0.04
Reptile,0.04
Reptile,0.04
Amphib,0.04
Bird,0.03
Mammal,0.03
Mammal,0.03
Mammal,0.03
Mammal,0.02
Mammal,0.02
Reptile,0.02
Bird,0.01
