Group,MortRate
Mammal,0.35
Mammal,0.48
Mammal,0.48
Mammal,0.58
Mammal,0.25
Mammal,0.44
Mammal,0.54
Mammal,0.12
Mammal,0.54
Mammal,0.54
Mammal,1.92
Mammal,0.61
Mammal,0.50
Mammal,0.38
Mammal,0.59
Mammal,0.47
Mammal,0.90
Mammal,0.67
Mammal,0.38
Mammal,0.63
Mammal,0.31
Mammal,0.24
Mammal,0.50
Mammal,0.65
Mammal,0.43
Mammal,0.46
Mammal,0.83
Mammal,0.28
Mammal,0.22
Mammal,0.39
Mammal,0.67
Mammal,0.24
Mammal,0.56
Mammal,0.45
Mammal,0.25
Mammal,0.49
Mammal,0.46
Mammal,0.26
Mammal,0.09
Mammal,0.30
Mammal,0.23
Mammal,0.33
Mammal,0.07
Mammal,0.50
Mammal,0.55
Mammal,0.42
Mammal,0.31
Mammal,0.33
Mammal,0.40
Mammal,0.45
Mammal,0.49
Mammal,0.90
Mammal,0.75
Mammal,0.79
Mammal,0.44
Mammal,0.23
Mammal,0.63
Mammal,0.36
Mammal,0.42
Mammal,0.74
Mammal,0.16
Mammal,0.25
Mammal,0.17
Mammal,0.30
Mammal,0.13
Mammal,0.40
Mammal,0.54
Mammal,0.48
Mammal,0.22
Mammal,0.45
Mammal,0.13
Mammal,0.27
Mammal,0.58
Mammal,0.57
Mammal,0.40
Mammal,0.67
Mammal,0.65
Mammal,0.73
Mammal,0.34
Mammal,0.85
Mammal,0.69
Mammal,0.42
Mammal,0.22
Mammal,0.73
Mammal,0.23
Mammal,0.36
Mammal,0.66
Mammal,0.95
Mammal,0.23
Mammal,0.33
Mammal,0.19
Mammal,0.44
Mammal,0.62
Mammal,0.73
Mammal,0.95
Mammal,0.28
Mammal,0.72
Mammal,0.28
Mammal,0.24
Mammal,0.51
Mammal,0.47
Mammal,0.22
Mammal,0.41
Mammal,0.16
Mammal,0.29
Mammal,0.61
Mammal,0.28
Mammal,0.08
Mammal,0.34
Mammal,0.56
Mammal,0.84
Mammal,0.55
Mammal,0.30
