Age,MortRate
Juvenile,0.71
Juvenile,0.71
Juvenile,0.71
Juvenile,0.71
Juvenile,0.71
Adult,0.72
Adult,0.72
Juvenile,0.72
Juvenile,0.73
Juvenile,0.73
Juvenile,0.73
Adult,0.74
Adult,0.74
Adult,0.74
Juvenile,0.74
Adult,0.75
Adult,0.75
Adult,0.75
Juvenile,0.75
Juvenile,0.75
Adult,0.76
Adult,0.76
Adult,0.77
Adult,0.77
Juvenile,0.77
Adult,0.78
Juvenile,0.78
Juvenile,0.78
Juvenile,0.78
Adult,0.79
Juvenile,0.79
Adult,0.8
Adult,0.8
Adult,0.8
Juvenile,0.8
Juvenile,0.81
Adult,0.83
Adult,0.83
Juvenile,0.83
Adult,0.84
Adult,0.84
Juvenile,0.84
Juvenile,0.84
Adult,0.85
Adult,0.85
Juvenile,0.85
Adult,0.9
Juvenile,0.9
Juvenile,0.9
Adult,0.92
Juvenile,0.94
Adult,0.95
Juvenile,0.95
Juvenile,0.95
Adult,0.96
Adult,1
